
4335704412,FRIHA,Johnson,Fe,informatique et réseaux,14:29:30,Present(e),PFA
5428322786,JON,Smith,Ma,informatique et réseaux,-,Absent(e),PFA
1725062594,YASSIR,Johnson,Ma,informatique et réseaux,-,Absent(e),PFA
3904044568,HADID,ouissal,Ma,informatique et réseaux,-,Absent(e),PFA
9729594819,ELKAHLAOUI,mohamed,Ma,informatique et réseaux,-,Absent(e),PFA
1754440687,IJJI,Jones,Ma,informatique et réseaux,-,Absent(e),PFA
6049131712,ELON,Johnson,Fe,informatique et réseaux,-,Absent(e),PFA
4388646731,JANE,Williams,Fe,informatique et réseaux,-,Absent(e),PFA
1755531258,DANIEL,Williams,Fe,informatique et réseaux,-,Absent(e),PFA
5917709167,DANIEL,Johnson,Ma,informatique et réseaux,-,Absent(e),PFA
1104140083,EMILY,Smith,Ma,automatismes et informatique i,-,Absent(e),PFA
9588607501,DANIEL,Johnson,Ma,automatismes et informatique i,-,Absent(e),PFA
4258349487,MICHAEL,Williams,Ma,automatismes et informatique i,-,Absent(e),PFA
4114070436,JOHN,Johnson,Ma,automatismes et informatique i,-,Absent(e),PFA
5794427860,MICHAEL,Smith,Fe,automatismes et informatique i,-,Absent(e),PFA
9540266743,MICHAEL,Jones,Ma,automatismes et informatique i,-,Absent(e),PFA
8544981671,DANIEL,Johnson,Ma,automatismes et informatique i,-,Absent(e),PFA
5557483376,JANE,Smith,Fe,automatismes et informatique i,-,Absent(e),PFA
4086474597,EMILY,Johnson,Ma,automatismes et informatique i,-,Absent(e),PFA
3221637964,DANIEL,Williams,Ma,automatismes et informatique i,-,Absent(e),PFA
0221755980,JANE,Jones,Fe,génie industriel,-,Absent(e),PFA
6291953256,OLIVIA,Jones,Ma,génie industriel,-,Absent(e),PFA
1043536824,JOHN,Smith,Fe,génie industriel,-,Absent(e),PFA
1733571410,JANE,Johnson,Fe,génie industriel,-,Absent(e),PFA
6757220830,MICHAEL,Smith,Ma,génie industriel,-,Absent(e),PFA
5455685340,JOHN,Williams,Fe,génie industriel,-,Absent(e),PFA
1908639641,OLIVIA,Johnson,Ma,génie industriel,-,Absent(e),PFA
0572651264,MICHAEL,Smith,Ma,génie industriel,-,Absent(e),PFA
9591871376,JOHN,Williams,Ma,génie industriel,-,Absent(e),PFA
4980176169,OLIVIA,Jones,Fe,génie industriel,-,Absent(e),PFA
1422670092,DANIEL,Williams,Ma,finance et audit,-,Absent(e),PFA
0872707658,OLIVIA,Jones,Ma,finance et audit,-,Absent(e),PFA
0213082295,JANE,Williams,Fe,finance et audit,-,Absent(e),PFA
2652643232,JANE,Smith,Ma,finance et audit,-,Absent(e),PFA
0313886537,EMILY,Brown,Ma,finance et audit,-,Absent(e),PFA
8246962962,EMILY,Jones,Ma,finance et audit,-,Absent(e),PFA
7749448207,EMILY,Brown,Ma,finance et audit,-,Absent(e),PFA
0552317015,EMILY,Smith,Ma,finance et audit,-,Absent(e),PFA
4266902601,MICHAEL,Jones,Ma,finance et audit,-,Absent(e),PFA
9594462734,MICHAEL,Smith,Fe,finance et audit,-,Absent(e),PFA
9429393535,DANIEL,Johnson,Ma,informatique et réseaux,-,Absent(e),PFA
8797791286,JANE,Smith,Fe,informatique et réseaux,-,Absent(e),PFA
1884390021,MICHAEL,Smith,Fe,informatique et réseaux,-,Absent(e),PFA
8021961644,JANE,Williams,Ma,informatique et réseaux,-,Absent(e),PFA
6348262277,OLIVIA,Brown,Fe,informatique et réseaux,-,Absent(e),PFA
1172894388,DANIEL,Williams,Fe,informatique et réseaux,-,Absent(e),PFA
2921578161,JANE,Johnson,Fe,informatique et réseaux,-,Absent(e),PFA
5804839972,JANE,Smith,Ma,informatique et réseaux,-,Absent(e),PFA
8615452759,JOHN,Smith,Ma,informatique et réseaux,-,Absent(e),PFA
2954189022,JANE,Smith,Ma,informatique et réseaux,-,Absent(e),PFA
WW,WW,ww,ww,finance et audit,-,Absent(e),PFA
DD,S,s,s,finance et audit,-,Absent(e),PFA
